timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1723640618388,3,HTTP Request,200,OK,script_1 1-9,text,true,,6401,651,10,10,http://localhost/banking/,3,0,1
1723640618392,10,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-9,,true,,22852,3477,10,10,null,0,2,0
1723640618392,4,HTTP Request,200,OK,script_1 1-9,text,true,,6969,689,10,10,http://localhost/banking/customer_reg_form.php,4,0,0
1723640618397,4,HTTP Request,200,OK,script_1 1-9,text,true,,11529,2004,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640618397,2,HTTP Request-0,302,Found,script_1 1-9,text,true,,7175,1145,10,10,http://localhost/banking/customer_reg_form.php,2,0,0
1723640618399,2,HTTP Request-1,200,OK,script_1 1-9,text,true,,4354,859,10,10,http://localhost/banking/cust_regfrm_confirm.php,2,0,0
1723640618402,2,HTTP Request,200,OK,script_1 1-9,text,true,,4354,784,10,10,http://localhost/banking/cust_regfrm_confirm.php,1,0,0
1723640618404,30,Tnx_03_view_acc_details_n_submit,200,"Number of samples in transaction : 2, number of failing samples : 0",script_1 1-9,,true,,10989,1628,10,10,null,0,3,0
1723640618405,29,HTTP Request,200,OK,script_1 1-9,text,true,,4589,902,10,10,http://localhost/banking/cust_regfrm_confirm.php,29,0,0
1723640618436,1,HTTP Request,200,OK,script_1 1-9,text,true,,6400,726,10,10,http://localhost/banking/index.php,1,0,0
1723640648403,2,Tnx_01_Launch,200,"Number of samples in transaction : 1, number of failing samples : 0",script_1 1-8,,true,,6401,651,10,10,null,0,0,1
1723640648403,2,HTTP Request,200,OK,script_1 1-8,text,true,,6401,651,10,10,http://localhost/banking/,2,0,1
1723640648405,6,Tnx_02_Click_open_Acc,200,"Number of samples in transaction : 3, number of failing samples : 0",script_1 1-8,,true,,22836,3469,10,10,null,0,0,0
